,Bus,Ferry,Other,Rail
2/2011,420221847.0,4016087.0,34331373.0,313079003.0
3/2011,488828865.0,5001555.0,39610793.0,366006584.0
4/2011,461081329.0,5274588.0,38258317.0,343669499.0
5/2011,461479523.0,5442059.0,38701089.0,366431337.0
6/2011,449956475.0,5832806.0,39996785.0,357003442.0
7/2011,423255541.0,6510097.0,38301010.0,347978542.0
8/2011,454003921.0,6340546.0,39302662.0,335097456.0
9/2011,478693395.0,5498370.0,39072565.0,359925305.0
10/2011,488548861.0,5193859.0,39813365.0,377378831.0
11/2011,458723191.0,4705904.0,38953609.0,351890770.0
12/2011,438770015.0,4878105.0,39044110.0,348030173.0
1/2012,445359751.0,4242562.0,38029426.0,342376351.0
2/2012,456776423.0,4484532.0,36819267.0,348433990.0
3/2012,485238318.0,5043741.0,40242059.0,370192153.0
4/2012,459580185.0,5394336.0,39078587.0,352501981.0
5/2012,471342354.0,5639860.0,40599993.0,369456652.0
6/2012,437128985.0,5869114.0,40151917.0,355022243.0
7/2012,429752826.0,6625884.0,40048389.0,358995264.0
8/2012,464107701.0,6637862.0,41370137.0,368129407.0
9/2012,462597859.0,5480382.0,38501048.0,357518307.0
10/2012,502570393.0,5133851.0,40256289.0,363920878.0
11/2012,460849269.0,5116997.0,36711169.0,347098440.0
12/2012,423066168.0,4923388.0,37716557.0,345589479.0
1/2013,451913029.0,4611113.0,38529973.0,355378932.0
2/2013,434543658.0,4149675.0,35513120.0,325003314.0
3/2013,463353221.0,5028544.0,39373267.0,367002732.0
4/2013,477531540.0,5187013.0,40108416.0,370871485.0
5/2013,471990535.0,5544018.0,40819903.0,376110970.0
6/2013,426161203.0,5868939.0,39647006.0,365670019.0
7/2013,439936512.0,6705239.0,41767517.0,365900706.0
8/2013,455819290.0,6656809.0,41032157.0,370937520.0
9/2013,469260268.0,5450131.0,39135289.0,372990594.0
10/2013,509215136.0,5347096.0,42474162.0,402164309.0
11/2013,444915328.0,4649913.0,39008044.0,360253921.0
12/2013,424362640.0,4685045.0,39591560.0,355101446.0
1/2014,429562819.0,4323406.0,38599069.0,345626826.0
2/2014,419249600.0,4035042.0,36422914.0,338552381.0
3/2014,465193809.0,4925421.0,40225054.0,389040403.0
4/2014,470210263.0,5401277.0,41567550.0,389824505.0
5/2014,465654126.0,5647415.0,41209062.0,397429675.0
6/2014,433632594.0,5958330.0,41683626.0,379152868.0
7/2014,440689178.0,7011736.0,43345166.0,381042317.0
8/2014,443623295.0,6906953.0,41197621.0,381728129.0
9/2014,479532601.0,5787285.0,41516011.0,390547209.0
10/2014,509425795.0,5759472.0,43970461.0,413776926.0
11/2014,429150430.0,4779055.0,38961828.0,354810136.0
12/2014,435072307.0,5058603.0,41769974.0,368372321.0
1/2015,422943350.0,4444961.0,38901124.0,336930306.0
2/2015,407066474.0,4264113.0,35659794.0,317927593.0
3/2015,463372287.0,5195669.0,40815438.0,383619715.0
4/2015,458937377.0,5770014.0,41315246.0,380909140.0
5/2015,441376341.0,6178751.0,40039914.0,369129088.0
6/2015,431714870.0,6806636.0,42474544.0,382524226.0
7/2015,431303725.0,7931756.0,43378375.0,392652877.0
8/2015,429603816.0,7691999.0,41058676.0,347499753.0
9/2015,459157664.0,6435867.0,41556987.0,375273614.0
10/2015,480907566.0,6006408.0,42974639.0,408337406.0
